Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude.data,longitude.data,altitude.data,utm_easting.data,utm_northing.data,zone_num.data,zone_letter.data,quality.data
1646352409.216181,329,0,0,,42.33726166666666,-71.08966666666666,16.1,327852.0101603789,4689337.8659544485,19.0,T,0
1646352410.2154605,330,0,0,,42.33726166666666,-71.08966666666666,16.2,327852.0101603789,4689337.8659544485,19.0,T,0
1646352411.2162051,331,0,0,,42.33726166666666,-71.08966666666666,16.2,327852.0101603789,4689337.8659544485,19.0,T,0
1646352412.2145288,332,0,0,,42.33726166666666,-71.08966666666666,16.2,327852.0101603789,4689337.8659544485,19.0,T,0
1646352413.2071528,333,0,0,,42.33726,-71.08966666666666,16.2,327852.00561239384,4689337.680883807,19.0,T,0
1646352414.208528,334,0,0,,42.33726,-71.08966666666666,16.2,327852.00561239384,4689337.680883807,19.0,T,0
1646352415.2149417,335,0,0,,42.33726,-71.08966666666666,16.2,327852.00561239384,4689337.680883807,19.0,T,0
1646352416.2141333,336,0,0,,42.33726,-71.08966666666666,16.2,327852.00561239384,4689337.680883807,19.0,T,0
1646352417.2121332,337,0,0,,42.33726,-71.08966666666666,16.2,327852.00561239384,4689337.680883807,19.0,T,0
1646352418.2133121,338,0,0,,42.33726,-71.08966666666666,16.2,327852.00561239384,4689337.680883807,19.0,T,0
1646352419.2068799,339,0,0,,42.33726,-71.08966666666666,16.2,327852.00561239384,4689337.680883807,19.0,T,0
1646352420.2087224,340,0,0,,42.33726,-71.089665,16.2,327852.1429191455,4689337.677509588,19.0,T,0
1646352421.213712,341,0,0,,42.33726,-71.089665,16.2,327852.1429191455,4689337.677509588,19.0,T,0
1646352422.2125776,342,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352423.2135062,343,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352424.2137861,344,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352425.2120838,345,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352426.211615,346,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
